"store.number","annual.profit","lci","nearcomp","nearmil","freestand","gini","housemed","state","sqft","intersect","pop","agemed","non.us.citizen","agg.inc","med.inc","noHS","HS","some.col","col.grad","post.grad","com0","com15","com30","com60","drive","public","walk","home","other"
28,344233.6084,10.32844265,5,7.5,0,0.3942,565.839505,"NV",335,1,1622,49.5,0.032675985,32073428,19886.4,0.184486005,0.374184191,0.356780276,0.065695286,0.018854242,0.146376812,0.372463768,0.365217391,0.115942029,0.714492754,0.202898551,0.082608696,0,0
29,2389518.486,6.911716604,1,32.6,1,0.5803,2662.154328,"TX",612,1,5330,31,0.411829602,455524739.2,55971.2,0.087297327,0.094722955,0.081002639,0.405578662,0.331398417,0.391940086,0.35128388,0.212553495,0.044222539,0.275254237,0.091525424,0.522711864,0.049491525,0.061016949
30,794198.6144,7.903209353,3,13.3,0,0.4864,1918.367555,"CA",842,1,4504,40.5,0.244478366,117720248.2,68139.2,0.08729328,0.369584703,0.213026591,0.223432744,0.106662683,0.307420495,0.347860228,0.263447193,0.081272085,0.879734479,0.025380711,0.035532995,0.005466615,0.053885201
31,852144.4714,5.489420377,1,15.5,0,0.4664,1732.769171,"CA",855,1,4951,39.5,0.090593109,145966861.6,66019.2,0.037479718,0.353405995,0.328065395,0.21401892,0.067029973,0.219051292,0.332047821,0.345160046,0.103740841,0.950610433,0.003514613,0,0.040695523,0.00517943
32,737506.8307,6.639326319,2,13.1,0,0.5258,961.553192,"AZ",622,1,4559,42.5,0.359546158,134064373.1,46684.8,0.095954396,0.205746815,0.219842776,0.352947745,0.125508268,0.110080645,0.427419355,0.354032258,0.108467742,0.819561875,0.106264412,0.007302075,0.04688701,0.019984627
33,495909.6678,9.934464315,3,1.2,0,0.3444,1184.661571,"CA",585,1,2071,35.5,0.139761918,35058168.81,56568.8,0.107298002,0.319634703,0.426179604,0.08143868,0.065449011,0.252840909,0.485795455,0.198863636,0.0625,0.930082797,0.00275989,0.038638454,0.028518859,0
34,784895.8003,5.986092078,1,38.3,0,0.358,983.0494989,"OK",460,1,2630,34,0.020358731,75405530.43,25500,0.020444523,0.170164234,0.286040146,0.3428219,0.180529197,0.45686901,0.372523962,0.145047923,0.025559105,0.633333333,0.030952381,0.2375,0.068452381,0.029761905
35,347734.724,9.00069853,6,20.4,0,0.353,610.7372857,"NV",505,0,1312,40.5,0.042574906,14490453.33,21892,0.082328823,0.333333333,0.48852459,0.054283199,0.041530055,0.306967985,0.20527307,0.468926554,0.018832392,0.756029685,0.11038961,0.096474954,0.014842301,0.022263451
36,1810938.362,7.075280264,6,14,0,0.7757,2361.520172,"KS",883,1,3785,46.5,0.197206378,462648493.8,139000,0.050363379,0.087459342,0.088904951,0.462542656,0.310729671,0.346153846,0.204895105,0.154545455,0.294405594,0.728875582,0.150698603,0.041250832,0.048569528,0.030605456
37,588264.7753,7.802988793,5,9,0,0.7966,1159.012712,"CA",639,1,3859,31.5,0.28414409,60794850.21,37321.6,0.109870422,0.459701493,0.310447761,0.074351327,0.045628998,0.277842907,0.329425557,0.305978898,0.086752638,0.783411489,0.051289566,0.043376319,0,0.121922626
38,1446262.149,5.620482846,5,36.6,0,0.4974,2215.090565,"AZ",397,1,5832,41.5,0.18841923,326743316.8,90091.2,0.020340115,0.136499197,0.269557238,0.337487368,0.236116082,0.27854525,0.337186355,0.246687341,0.137581054,0.869950194,0.069728832,0.038184837,0.018539015,0.003597122
39,331401.0406,9.318223575,1,12.6,0,0.3548,1359.390141,"AZ",439,0,1326,31.5,0.615113237,31307238.86,40151.2,0.129450544,0.364475202,0.250288351,0.207342997,0.048442907,0.075414781,0.167420814,0.475113122,0.282051282,0.58974359,0.360482655,0.033182504,0,0.016591252
40,1221433.589,7.352726457,5,11.2,1,0.5353,1941.833704,"AZ",345,0,3706,31.5,0.281235161,132148967.5,78414.4,0.010153196,0.043513296,0.175261886,0.446333508,0.324738114,0.198057205,0.093901781,0.547760389,0.160280626,0.407480315,0.290846457,0.141240157,0.088090551,0.07234252
41,768144.7241,6.983623729,1,33.5,0,0.5447,774.2185177,"NV",481,1,4191,40,0.434558919,82957018.43,49632.8,0.069153403,0.296586282,0.206702161,0.327965294,0.099592859,0.224062772,0.405841325,0.29119442,0.078901482,0.897206005,0.008131776,0.024603837,0.043369475,0.026688907
42,440749.7128,8.526747039,0,28.7,0,0.6488,1818.368253,"AZ",820,1,1963,32,0.304110443,41170928.84,45545.6,0.043712782,0.306282723,0.263525305,0.224175525,0.162303665,0.131258457,0.342354533,0.320703654,0.205683356,0.698966408,0.173126615,0.082687339,0.045219638,0
43,390280.876,6.590154244,0,2.8,0,0.6709,2098.306887,"NM",491,1,1815,40,0.123194796,54537600,79761.6,0.018060805,0.174220963,0.290368272,0.304347127,0.213002833,0.050505051,0.227272727,0.402356902,0.31986532,0.838,0.102,0.0104,0.0496,0
44,811727.3199,8.837591859,4,1.4,0,0.5598,1342.606933,"AZ",752,1,4167,42.5,0.291152045,143493831.5,50322.4,0.181478757,0.178968951,0.249560633,0.219517142,0.170474517,0.050693448,0.173601148,0.507412721,0.268292683,0.55802969,0.312415655,0.028789924,0.059379217,0.041385515
45,762706.4412,7.824572165,1,2.2,0,0.5634,1104.563111,"NV",798,1,4632,40,0.053223784,111445920,66391.2,0.088038119,0.362118595,0.231145653,0.172180649,0.146516983,0.129277567,0.254372624,0.45513308,0.16121673,0.924406048,0.005759539,0.011159107,0.053275738,0.005399568
46,2891136.923,1.809948314,1,54.8,1,0.6558,2008.577279,"AZ",1337,0,9113,36,0.248902303,494662829.6,58836.8,0.007274612,0.07166083,0.10967984,0.626827439,0.184557279,0.090247453,0.306485525,0.534853631,0.068413392,0.394855807,0.277786438,0.205767732,0.036165238,0.085424786
47,827807.256,5.11468571,2,3,0,0.6706,902.248512,"AZ",756,1,3977,40.5,0.375834471,115482290.5,28100,0.150645196,0.289892753,0.322716932,0.135022663,0.101722457,0.0390625,0.175480769,0.599759615,0.185697115,0.527556818,0.365056818,0.046590909,0.054545455,0.00625
48,1200028.272,9.375315705,1,3.7,0,0.4224,1936.557088,"NM",860,1,6866,42,0.257705631,255589362,76522.4,0.094319016,0.191699199,0.245120197,0.289490312,0.179371276,0.098820446,0.393709043,0.371690695,0.135779817,0.883375959,0.081074169,0.011253197,0.024296675,0
49,404687.2934,9.335977665,6,21.5,0,0.5316,535.6388328,"NM",368,1,2362,29,0.141236214,24756962.71,24195.2,0.23761679,0.357679181,0.264163823,0.094123824,0.046416382,0.212721585,0.313868613,0.368091762,0.10531804,0.855208333,0.116666667,0.019791667,0.001041667,0.007291667
50,626315.492,6.323206224,5,21.8,0,0.5724,1764.528591,"AZ",577,1,3055,42.5,0.359568731,95020683.33,52400,0.103119215,0.316120341,0.287382128,0.188304224,0.105074091,0.069915254,0.198446328,0.305084746,0.426553672,0.748948107,0.226507714,0.000701262,0.007012623,0.016830295
51,751341.3589,8.95502305,4,25.1,0,0.5274,1499.736537,"TX",528,1,3046,32.5,0.128612284,65322089.11,45181.6,0.039290618,0.251805054,0.167870036,0.310889887,0.230144404,0.12547736,0.309874523,0.471903983,0.092744135,0.692448873,0.162821185,0.056109072,0.038804405,0.049816466
52,527414.2347,10.22891275,4,9.8,0,0.6892,755.9775105,"WY",258,1,4004,37.5,0.058058498,90576066.98,36226.4,0.093981559,0.346376812,0.358695652,0.154206846,0.04673913,0.289688249,0.270023981,0.337170264,0.103117506,0.940575673,0,0.027390901,0.032033426,0
53,399355.5514,6.824749891,0,3.6,0,0.3713,1167.032622,"AZ",538,1,2001,34.5,0.318412938,40204807.8,70650.4,0.206618127,0.253029223,0.198146828,0.243845166,0.098360656,0.054270463,0.144128114,0.484875445,0.316725979,0.701058201,0.264550265,0.007936508,0.008818342,0.017636684
54,451723.3296,5.87503871,0,13.1,0,0.4191,2030.617653,"AZ",762,0,1322,42.5,0.075118357,43784640,69000,0.055421988,0.246710526,0.198464912,0.235148187,0.264254386,0.285148515,0.144554455,0.261386139,0.308910891,0.636363636,0.212727273,0.069090909,0.081818182,0
55,859047.0898,8.942426196,5,12.3,0,0.5959,1064.545708,"CA",696,1,5070,39.5,0.078230857,142974000,89681.6,0.014170642,0.202746129,0.272860064,0.377792548,0.132430616,0.211106885,0.312666413,0.37694941,0.099277292,0.911859549,0.016839842,0.005016123,0.058043712,0.008240774
56,615140.8345,10.12277391,0,33.6,0,0.5559,1528.970816,"CA",648,1,4436,34.5,0.155450145,189516059.4,64481.6,0.000169039,0.177403035,0.360202361,0.243675817,0.218549747,0.243326039,0.406564551,0.279212254,0.070897155,0.903753027,0.009079903,0,0.077885391,0.009281679
57,430603.6685,9.759502362,0,27.1,0,0.505,981.0793022,"NV",449,0,3115,49,0.056194001,133144936.8,67083.2,0.043367555,0.394163584,0.232223592,0.255029486,0.075215783,0.177950869,0.460155782,0.266027561,0.095865788,0.929642445,0.025951557,0,0.037485582,0.006920415
58,861983.6677,6.998008874,1,33.5,1,0.7033,734.3716481,"CA",601,0,6160,32.5,0.441744042,130597133.3,37891.2,0.125754031,0.310279934,0.199247236,0.269447098,0.095271701,0.072531901,0.29113499,0.464741437,0.171591672,0.64512,0.2384,0.0512,0.04704,0.01824
59,835031.7065,7.616077401,6,27.6,0,0.4581,1273.435548,"CA",335,1,4785,38,0.222431155,131832585.4,53169.6,0.110211821,0.351724138,0.254310345,0.202431857,0.081321839,0.254033926,0.287546545,0.31940422,0.139015308,0.888163265,0.035102041,0.063265306,0.013469388,0
60,632318.0206,8.11827186,1,33.6,0,0.7144,1413.711028,"AZ",416,0,3492,31.5,0.345054239,39635801.83,27966.4,0.294260343,0.402630248,0.235710673,0.041602075,0.025796662,0.11446249,0.122969838,0.447022428,0.315545244,0.578112916,0.292730085,0.088167053,0,0.040989946
61,863740.7901,7.645451839,3,6.2,0,0.5514,1097.112747,"CA",799,1,6274,43,0.102391158,202045614.5,39398.4,0.142300067,0.395891892,0.259243243,0.177699933,0.024864865,0.295251696,0.293109604,0.351660121,0.059978579,0.984805654,0.002473498,0,0.01024735,0.002473498
62,672053.4056,7.740563128,3,11.2,0,0.5167,1962.936447,"AZ",596,1,2369,31.5,0.37469802,102982460.6,63952,0.116335039,0.135466667,0.158933333,0.384998294,0.204266667,0.077922078,0.2,0.527922078,0.194155844,0.389590854,0.368531889,0.131768953,0.073405535,0.036702768
63,1313424.364,8.039122519,4,21.9,1,0.4647,1045.683953,"TX",468,1,2791,31,0.273062761,224509528.5,79387.2,0.025633853,0.023914969,0.06510186,0.50498085,0.380368468,0.283039058,0.3905832,0.276083467,0.050294275,0.447645291,0.100450902,0.370240481,0.063627255,0.018036072
64,511722.1073,6.520739295,1,14.5,0,0.4685,1061.269167,"NV",739,0,3102,44,0.090985739,64553228.24,41722.4,0.068308986,0.404237288,0.291101695,0.163470676,0.072881356,0.374529013,0.452901281,0.1213263,0.051243406,0.842490842,0.014652015,0.098168498,0.027838828,0.016849817
65,975945.8978,9.525032593,5,36.3,0,0.6003,541.9717112,"AZ",602,1,8053,36.5,0.221236868,90596250,15320,0.329773672,0.289151874,0.2382643,0.103559661,0.039250493,0.05743509,0.088119591,0.277340677,0.577104642,0.591402014,0.350503486,0.042602634,0.015491867,0
66,949657.9053,8.93666968,5,31.5,0,0.5413,1132.53397,"TX",250,1,5693,36.5,0.537552994,172529527.8,44837.6,0.104098077,0.358724751,0.269408615,0.16506717,0.102701387,0.109797823,0.317884914,0.45318818,0.119129082,0.811543172,0.124157991,0.044090631,0.015615432,0.004592774
67,668148.9104,9.017431255,3,8.7,0,0.477,1212.383522,"CA",714,1,4800,31,0.407363611,69806644.07,39628,0.212410481,0.391196528,0.195908246,0.15739733,0.043087415,0.328709542,0.322824716,0.259773014,0.088692728,0.78875888,0.087547012,0.035102382,0.005850397,0.082741329
68,706572.3951,5.644211807,1,5,0,0.405,2616.931786,"AZ",490,0,3006,46.5,0.06716886,130143613.8,103617.6,0.002808769,0.08600183,0.24473925,0.356688029,0.309762123,0.177514793,0.149408284,0.306952663,0.36612426,0.766288952,0.142351275,0.040368272,0.042492918,0.008498584
69,972371.8645,2.778948405,3,16.9,0,0.4845,1359.416997,"KS",741,0,4898,49,0.106608822,141846080,58085.6,0.038505325,0.329997366,0.283908349,0.233024831,0.11456413,0.353846154,0.374660633,0.198642534,0.072850679,0.968556244,0.007085917,0.003100089,0.02125775,0
70,1031688.96,7.984309452,1,25.6,0,0.2573,896.7955966,"TX",411,1,5822,44.5,0.301427465,200541801.4,95091.2,0.064845734,0.069424631,0.149072753,0.385368246,0.331288635,0.210485736,0.210100231,0.404780262,0.17463377,0.874348279,0.02589503,0,0.098366354,0.001390337
71,512796.2689,9.395407385,6,1.7,0,0.6049,644.0297609,"AZ",771,1,2377,30.5,0.288575879,29289335.31,18862.4,0.350129451,0.326572008,0.225828262,0.069748845,0.027721433,0.06921944,0.113402062,0.438880707,0.378497791,0.47327249,0.328552803,0.044328553,0.114732725,0.039113429
72,567242.9053,8.8651488,5,2.3,0,0.6878,771.3201723,"OK",474,1,2297,50.5,0,87658057.28,41780,0.015572318,0.259259259,0.255446623,0.287804589,0.181917211,0.525166192,0.273504274,0.156695157,0.044634378,0.831400535,0,0.10793934,0.060660125,0
73,867783.7793,4.559419873,2,37,0,0.5066,1151.9362,"CA",283,1,4774,34.5,0.303793096,99201984,42776.8,0.204613698,0.240069585,0.193679327,0.246821501,0.114815889,0.090251171,0.325244785,0.356747552,0.227756492,0.676494676,0.196560197,0.077805078,0.038083538,0.011056511
74,559060.2557,9.697113967,2,10.1,0,0.5623,1010.264346,"CA",542,0,5774,32,0.096326494,130583384.2,33320.8,0.111488792,0.550419032,0.212489862,0.09532386,0.030278454,0.294409938,0.385921325,0.279089027,0.04057971,0.910016287,0.011400651,0.015472313,0.016693811,0.046416938
75,450271.9262,6.982777484,1,4.3,0,0.6528,736.3865462,"AZ",392,1,2798,34,0.201078206,57041319.38,31558.4,0.265725919,0.294221698,0.272995283,0.093943892,0.073113208,0.090462144,0.074729597,0.447394297,0.387413963,0.623814042,0.251897533,0.089184061,0.035104364,0
76,869719.9801,5.743706195,4,1.1,0,0.524,1017.671819,"NV",632,1,4152,32,0.209700302,147886690.9,33088,0.027533521,0.085857009,0.223540431,0.304342845,0.358726194,0.135608442,0.452177818,0.271665918,0.140547822,0.493763441,0.205591398,0.189677419,0.042150538,0.068817204
77,866421.3738,8.493701229,4,4.5,1,0.4156,1308.266187,"AZ",711,1,4690,32.5,0.737359151,55643500,40596.8,0.457416028,0.274794694,0.188566014,0.057429202,0.021794062,0.087677725,0.165402844,0.438388626,0.308530806,0.559496034,0.312645824,0.112459169,0.015398973,0
78,616082.1927,6.430314272,1,11.8,0,0.4836,828.3890867,"UT",781,1,2764,42.5,0.068398825,63749198.9,26200,0.147458128,0.435947394,0.256697516,0.100958823,0.058938139,0.072815534,0.333009709,0.342718447,0.251456311,0.649253731,0.214552239,0.0625,0.039179104,0.034514925
79,884997.7529,9.723480871,6,35.3,0,0.4729,1486.924841,"CA",677,0,6697,32,0.593135881,98602638.3,35952,0.241316256,0.583796296,0.130092593,0.02535041,0.019444444,0.265659543,0.324244657,0.302137067,0.107958732,0.748916968,0.030144404,0.04801444,0.020216606,0.152707581
80,460489.9304,10.72945046,1,4.5,0,0.353,777.9187992,"KS",423,0,3210,31,0.195431846,78661050,45804.8,0.185133263,0.302026693,0.343549184,0.093660608,0.075630252,0.144561404,0.585964912,0.241403509,0.028070175,0.930592992,0.029649596,0,0.039757412,0
81,2242387.46,5.713076657,2,3.1,0,0.5115,1197.496265,"AZ",1033,0,4710,39.5,0.237816643,602154945.5,87420.8,0.094663618,0.049363868,0.095165394,0.648241217,0.112565903,0.310046813,0.363341736,0.238386748,0.088224703,0.221965699,0.162598945,0.432717678,0.084102902,0.098614776
82,837812.8663,7.669784678,3,8.1,0,0.6304,1936.015611,"TX",858,1,3049,26,0.366880805,137940455.8,32600,0.01870293,0.099488346,0.046617396,0.467368701,0.367822626,0.323097463,0.396528705,0.216955941,0.063417891,0.385204082,0.203443878,0.340561224,0.044642857,0.026147959
83,531933.8052,6.906281356,2,8,0,0.3199,1267.264485,"NV",364,1,2255,45,0.072128827,100646524.4,113800,0.031163835,0.141057935,0.158690176,0.351707701,0.317380353,0.180465116,0.341395349,0.343255814,0.134883721,0.909050967,0.023286467,0.012302285,0.055360281,0
84,1267215.541,8.14207119,4,1.7,0,0.315,2525.688795,"AZ",557,1,3262,26.5,0.332967849,330129979.7,115555.2,0.020038111,0.040261153,0.083242655,0.527187133,0.329270947,0.233540373,0.560248447,0.172049689,0.034161491,0.245623941,0.221908526,0.391304348,0.090909091,0.050254094
85,449868.2023,8.957634705,1,9.7,0,0.4752,1096.620809,"AZ",518,1,2330,47.5,0.120289773,77475296,51738.4,0.090145336,0.30620985,0.359743041,0.154501345,0.089400428,0.368709973,0.193046661,0.292772187,0.14547118,0.853607383,0.013842282,0.047818792,0.083053691,0.001677852
86,409096.5383,7.233114763,6,2.9,0,0.7966,1393.939363,"AZ",430,1,2483,30,0.247624681,32232923.71,34965.6,0.211811318,0.38424983,0.249151392,0.116090922,0.038696538,0.128556375,0.195995785,0.357218124,0.318229715,0.658385093,0.200828157,0.078674948,0.017598344,0.044513458
87,1021502.11,5.827559203,1,31.7,0,0.5029,853.4623984,"CA",535,0,4970,32,0.411265234,159636400,45344.8,0.175322715,0.289606159,0.156055671,0.249314537,0.129700918,0.13870334,0.321414538,0.405500982,0.134381139,0.683786892,0.192027597,0.045228057,0.024530471,0.054426984
88,645121.6513,4.506254483,5,1.4,0,0.6584,1568.13971,"NV",561,1,4035,37,0.087556653,90930070,60318.4,0.034464156,0.289473684,0.28245614,0.257465669,0.136140351,0.225895317,0.234618916,0.406795225,0.132690542,0.929430098,0.00333927,0.02760463,0.030276046,0.009349955
89,1577763.33,8.140135961,1,12.2,1,0.7156,670.0479941,"AZ",985,0,4305,38.5,0.300038348,191658600,43950.4,0.099557246,0.102289622,0.12637526,0.462143616,0.209634255,0.139194139,0.264957265,0.520960521,0.074888075,0.261621206,0.217057242,0.34421821,0.056089128,0.121014214
90,711704.5614,7.355781633,0,19.5,0,0.5926,1754.189711,"TX",596,1,2237,54,0.110292367,168630351.8,128356.8,0.051322811,0.104371585,0.127322404,0.266709976,0.450273224,0.196413322,0.405636208,0.343296328,0.054654142,0.769592476,0.061128527,0.059561129,0.082288401,0.027429467
91,735292.7745,7.337780536,1,10.8,0,0.7631,421.2315787,"NM",555,0,3489,53.5,0.124420393,119384633.8,45750.4,0.17159548,0.416353062,0.255559357,0.094911533,0.061580568,0.189619733,0.22610483,0.453751285,0.130524152,0.888071066,0.012944162,0.085786802,0.012182741,0.001015228
92,569510.5528,6.55572596,0,12.4,0,0.5305,980.2294575,"NV",637,1,4276,49.5,0.080356989,112769781.8,44552.8,0.04351511,0.314,0.235714286,0.279627747,0.127142857,0.24127907,0.301162791,0.373255814,0.084302326,0.910865874,0.031409168,0.024335031,0.026598755,0.006791171
93,458485.3093,9.579758469,0,32.3,0,0.4279,2020.804627,"KS",406,1,2245,41.5,0.037510718,121704465.7,68576,0.019833487,0.159179146,0.18968386,0.214254145,0.417049362,0.220843672,0.460711332,0.239040529,0.079404467,0.913888889,0.009920635,0.020634921,0.04047619,0.015079365
94,651784.1714,7.990430175,1,33,1,0.6625,905.4511962,"NV",337,1,3447,44.5,0,84671706.41,52454.4,0.054540471,0.330693069,0.268514851,0.227439727,0.118811881,0.202852615,0.305863708,0.378235605,0.113048072,0.954188482,0.014397906,0.014659686,0.008900524,0.007853403
